gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2016-02-01,OFF_PEAK,"Passenger Wait Time",114747.175396821,129192.909251122,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2016-02-01,PEAK,"Passenger Wait Time",73564.686787560,84151.758456809,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2016-02-01,OFF_PEAK,"Passenger Wait Time",75837.122841351,80659.181979142,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2016-02-01,PEAK,"Passenger Wait Time",50687.469395654,54186.276616598,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2016-02-01,OFF_PEAK,"Passenger Wait Time",1625.253500000,2179.574600000,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2016-02-01,PEAK,"Passenger Wait Time",479.021200000,701.520600000,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2016-02-01,PEAK,"Passenger Wait Time",293.957600000,431.336700000,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2016-02-01,OFF_PEAK,"Passenger Wait Time",901.284700000,1279.746700000,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2016-02-01,OFF_PEAK,"Passenger Wait Time",1069.485900000,1315.490600000,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2016-02-01,PEAK,"Passenger Wait Time",321.218799999,421.332999999,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2016-02-01,OFF_PEAK,"Passenger Wait Time",556.647500000,845.324600000,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2016-02-01,PEAK,"Passenger Wait Time",149.370900000,248.956400000,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2016-02-01,OFF_PEAK,"Passenger Wait Time",14929.098005306,16045.231503261,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2016-02-01,PEAK,"Passenger Wait Time",8131.011012853,8513.555994769,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2016-02-01,OFF_PEAK,"Headway / Schedule Adherence",872.000000000,977.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2016-02-01,PEAK,"Headway / Schedule Adherence",258.000000000,297.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2016-02-01,OFF_PEAK,"Headway / Schedule Adherence",531.000000000,611.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2016-02-01,PEAK,"Headway / Schedule Adherence",401.000000000,450.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2016-02-01,PEAK,"Headway / Schedule Adherence",466.000000000,548.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2016-02-01,OFF_PEAK,"Headway / Schedule Adherence",1264.000000000,1415.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2016-02-01,OFF_PEAK,"Headway / Schedule Adherence",1960.000000000,2347.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2016-02-01,PEAK,"Headway / Schedule Adherence",789.000000000,965.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2016-02-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2016-02-01,OFF_PEAK,"Headway / Schedule Adherence",30.000000000,31.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2016-02-01,PEAK,"Headway / Schedule Adherence",12.000000000,13.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2016-02-01,OFF_PEAK,"Headway / Schedule Adherence",20.000000000,22.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2016-02-01,OFF_PEAK,"Headway / Schedule Adherence",26.000000000,31.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2016-02-01,PEAK,"Headway / Schedule Adherence",16.000000000,17.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2016-02-01,OFF_PEAK,"Headway / Schedule Adherence",22.000000000,23.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2016-02-01,PEAK,"Headway / Schedule Adherence",12.000000000,14.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2016-02-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2016-02-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2016-02-01,OFF_PEAK,"Headway / Schedule Adherence",33.000000000,33.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2016-02-01,PEAK,"Headway / Schedule Adherence",13.000000000,14.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2016-02-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2016-02-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
