gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2016-03-01,PEAK,"Passenger Wait Time",50879.547106409,57212.453088159,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2016-03-01,OFF_PEAK,"Passenger Wait Time",70646.528543224,80913.530141282,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2016-03-01,PEAK,"Passenger Wait Time",35542.625037452,39239.379380545,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2016-03-01,OFF_PEAK,"Passenger Wait Time",50925.221468080,57006.589783394,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2016-03-01,PEAK,"Passenger Wait Time",3854.164578826,5021.307630808,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2016-03-01,OFF_PEAK,"Passenger Wait Time",9679.771790857,12406.940798619,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2016-03-01,PEAK,"Passenger Wait Time",3287.865228981,5860.303089798,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2016-03-01,OFF_PEAK,"Passenger Wait Time",6996.243786672,10789.304247922,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2016-03-01,OFF_PEAK,"Passenger Wait Time",7505.542336348,10690.650842518,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2016-03-01,PEAK,"Passenger Wait Time",3158.173756153,4367.696600068,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2016-03-01,OFF_PEAK,"Passenger Wait Time",6084.797424742,10053.239094957,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2016-03-01,PEAK,"Passenger Wait Time",3459.368833042,6439.697947079,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2016-03-01,PEAK,"Passenger Wait Time",7417.021685323,8108.645757123,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2016-03-01,OFF_PEAK,"Passenger Wait Time",11151.125103965,12405.436450709,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",798.000000000,919.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2016-03-01,PEAK,"Headway / Schedule Adherence",267.000000000,292.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",605.000000000,659.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2016-03-01,PEAK,"Headway / Schedule Adherence",426.000000000,454.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2016-03-01,PEAK,"Headway / Schedule Adherence",374.000000000,529.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",1060.000000000,1345.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2016-03-01,PEAK,"Headway / Schedule Adherence",742.000000000,991.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",1842.000000000,2271.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2016-03-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",28.000000000,31.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",23.000000000,23.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2016-03-01,PEAK,"Headway / Schedule Adherence",13.000000000,13.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",29.000000000,31.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2016-03-01,PEAK,"Headway / Schedule Adherence",16.000000000,17.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",21.000000000,23.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2016-03-01,PEAK,"Headway / Schedule Adherence",11.000000000,14.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2016-03-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",31.000000000,34.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2016-03-01,PEAK,"Headway / Schedule Adherence",14.000000000,14.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2016-03-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",36.000000000,37.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2016-03-01,PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2016-03-01,PEAK,"Headway / Schedule Adherence",8.000000000,8.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",21.000000000,22.000000000,.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2016-03-01,PEAK,"Headway / Schedule Adherence",9.000000000,10.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",20.000000000,23.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",18.000000000,18.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-03-01,PEAK,"Headway / Schedule Adherence",8.000000000,8.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-03-01,PEAK,"Headway / Schedule Adherence",11.000000000,13.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2016-03-01,PEAK,"Headway / Schedule Adherence",7.000000000,9.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2016-03-01,OFF_PEAK,"Headway / Schedule Adherence",19.000000000,23.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2016-03-01,PEAK,"Headway / Schedule Adherence",14.000000000,14.000000000,.000000000
