gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2016-05-01,OFF_PEAK,"Passenger Wait Time",64743.288457613,71044.579207109,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2016-05-01,OFF_PEAK,"Passenger Wait Time",17227.013121015,21731.114737824,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2016-05-01,OFF_PEAK,"Passenger Wait Time",13267.297297815,17134.746021131,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2016-05-01,OFF_PEAK,"Passenger Wait Time",16156.544619342,21571.548685292,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2016-05-01,OFF_PEAK,"Passenger Wait Time",8883.964634217,12135.565211762,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2016-05-01,OFF_PEAK,"Passenger Wait Time",11929.793165064,15837.585523173,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2016-05-01,OFF_PEAK,"Passenger Wait Time",18241.932066176,19249.903564369,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2016-05-01,OFF_PEAK,"Headway / Schedule Adherence",852.000000000,1052.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2016-05-01,OFF_PEAK,"Headway / Schedule Adherence",437.000000000,486.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2016-05-01,OFF_PEAK,"Headway / Schedule Adherence",1312.000000000,1570.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2016-05-01,OFF_PEAK,"Headway / Schedule Adherence",2233.000000000,2916.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2016-05-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2016-05-01,OFF_PEAK,"Headway / Schedule Adherence",31.000000000,34.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2016-05-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2016-05-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2016-05-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2016-05-01,OFF_PEAK,"Headway / Schedule Adherence",13.000000000,18.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2016-05-01,OFF_PEAK,"Headway / Schedule Adherence",13.000000000,14.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2016-05-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2016-05-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2016-05-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2016-05-01,OFF_PEAK,"Headway / Schedule Adherence",6.000000000,12.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2016-05-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2016-05-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,16.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2016-05-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2016-05-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2016-05-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2016-05-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
