gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2016-06-01,PEAK,"Passenger Wait Time",77237.571205724,83605.240471454,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2016-06-01,OFF_PEAK,"Passenger Wait Time",92145.623442707,98807.996099796,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2016-06-01,PEAK,"Passenger Wait Time",55463.995118541,59031.275048027,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2016-06-01,OFF_PEAK,"Passenger Wait Time",70642.030224236,74480.570847508,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2016-06-01,OFF_PEAK,"Passenger Wait Time",11375.551298147,15542.919445028,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2016-06-01,PEAK,"Passenger Wait Time",6090.756691843,8243.098439067,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2016-06-01,OFF_PEAK,"Passenger Wait Time",14278.537024992,20106.988957150,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2016-06-01,PEAK,"Passenger Wait Time",8279.976598261,12172.187140194,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2016-06-01,OFF_PEAK,"Passenger Wait Time",9009.896035908,13098.265280790,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2016-06-01,PEAK,"Passenger Wait Time",4905.167157311,7013.334490737,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2016-06-01,OFF_PEAK,"Passenger Wait Time",11600.900410228,16685.947303510,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2016-06-01,PEAK,"Passenger Wait Time",7077.397652060,10533.576066904,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2016-06-01,PEAK,"Passenger Wait Time",16655.978127522,17524.738281310,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2016-06-01,OFF_PEAK,"Passenger Wait Time",23719.309905494,25304.986259171,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",710.000000000,897.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",192.000000000,246.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",468.000000000,512.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",309.000000000,340.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",375.000000000,541.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",1001.000000000,1322.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",707.000000000,1007.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",1745.000000000,2320.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2016-06-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",29.000000000,29.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",21.000000000,24.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2016-06-01,PEAK,"Headway / Schedule Adherence",13.000000000,14.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2016-06-01,PEAK,"Headway / Schedule Adherence",10.000000000,21.000000000,1.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",18.000000000,33.000000000,1.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2016-06-01,PEAK,"Headway / Schedule Adherence",11.000000000,15.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,25.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",12.000000000,14.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2016-06-01,PEAK,"Headway / Schedule Adherence",10.000000000,10.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2016-06-01,PEAK,"Headway / Schedule Adherence",14.000000000,16.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",26.000000000,28.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",12.000000000,15.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2016-06-01,PEAK,"Headway / Schedule Adherence",8.000000000,9.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2016-06-01,PEAK,"Headway / Schedule Adherence",16.000000000,17.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",36.000000000,36.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",13.000000000,14.000000000,1.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2016-06-01,PEAK,"Headway / Schedule Adherence",7.000000000,10.000000000,1.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",20.000000000,22.000000000,.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2016-06-01,PEAK,"Headway / Schedule Adherence",9.000000000,10.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-06-01,PEAK,"Headway / Schedule Adherence",12.000000000,13.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",21.000000000,24.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",20.000000000,20.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-06-01,PEAK,"Headway / Schedule Adherence",10.000000000,10.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",25.000000000,30.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2016-06-01,PEAK,"Headway / Schedule Adherence",14.000000000,15.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",17.000000000,18.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2016-06-01,PEAK,"Headway / Schedule Adherence",9.000000000,10.000000000,.000000000
701,CT1,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",251.000000000,424.000000000,
701,CT1,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",107.000000000,283.000000000,
747,CT2,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",49.000000000,198.000000000,
747,CT2,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",68.000000000,356.000000000,
708,CT3,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",83.000000000,206.000000000,
708,CT3,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",72.000000000,180.000000000,
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",942.000000000,1272.000000000,
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",290.000000000,399.000000000,
4,4,,"Limited Service","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",41.000000000,139.000000000,
4,4,,"Limited Service","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",27.000000000,38.000000000,
5,5,,"Limited Service","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",25.000000000,46.000000000,
5,5,,"Limited Service","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",1.000000000,1.000000000,
7,7,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",276.000000000,384.000000000,
7,7,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",257.000000000,363.000000000,
8,8,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",290.000000000,582.000000000,
8,8,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",101.000000000,247.000000000,
9,9,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",309.000000000,579.000000000,
9,9,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",246.000000000,379.000000000,
10,10,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",75.000000000,181.000000000,
10,10,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",264.000000000,453.000000000,
11,11,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",199.000000000,335.000000000,
11,11,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",257.000000000,484.000000000,
14,14,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",85.000000000,214.000000000,
14,14,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",34.000000000,112.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",267.000000000,378.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",554.000000000,757.000000000,
16,16,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",308.000000000,549.000000000,
16,16,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",96.000000000,259.000000000,
17,17,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",166.000000000,318.000000000,
17,17,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",88.000000000,161.000000000,
18,18,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",20.000000000,63.000000000,
18,18,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",33.000000000,72.000000000,
19,19,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",95.000000000,355.000000000,
19,19,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",122.000000000,323.000000000,
21,21,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",137.000000000,210.000000000,
21,21,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",345.000000000,499.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",744.000000000,1106.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",326.000000000,474.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",1072.000000000,1540.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",475.000000000,666.000000000,
24,24,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",42.000000000,86.000000000,
24,24,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",153.000000000,216.000000000,
26,26,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",111.000000000,243.000000000,
26,26,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",26.000000000,112.000000000,
27,27,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",17.000000000,80.000000000,
27,27,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",80.000000000,170.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",1055.000000000,1477.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",409.000000000,585.000000000,
29,29,,"Local Bus","Other Bus",Bus,2016-06-01,PEAK,"Headway / Schedule Adherence",62.000000000,221.000000000,
29,29,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",181.000000000,387.000000000,
30,30,,"Local Bus","Other Bus",Bus,2016-06-01,OFF_PEAK,"Headway / Schedule Adherence",153.000000000,268.000000000,
