gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2016-10-01,OFF_PEAK,"Passenger Wait Time",61531.505141589,66971.113377115,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2016-10-01,OFF_PEAK,"Passenger Wait Time",72250.542081242,75010.269261208,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2016-10-01,OFF_PEAK,"Passenger Wait Time",21199.209336379,25535.334672820,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2016-10-01,OFF_PEAK,"Passenger Wait Time",22688.872816033,30681.215291180,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2016-10-01,OFF_PEAK,"Passenger Wait Time",15793.492141399,22026.514196713,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2016-10-01,OFF_PEAK,"Passenger Wait Time",22521.172989161,30618.400976070,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2016-10-01,OFF_PEAK,"Passenger Wait Time",28002.821445302,29101.345511360,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2016-10-01,OFF_PEAK,"Headway / Schedule Adherence",712.000000000,822.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2016-10-01,OFF_PEAK,"Headway / Schedule Adherence",279.000000000,361.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2016-10-01,OFF_PEAK,"Headway / Schedule Adherence",1172.000000000,1542.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2016-10-01,OFF_PEAK,"Headway / Schedule Adherence",2191.000000000,2751.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2016-10-01,OFF_PEAK,"Headway / Schedule Adherence",34.000000000,34.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2016-10-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2016-10-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2016-10-01,OFF_PEAK,"Headway / Schedule Adherence",13.000000000,15.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2016-10-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2016-10-01,OFF_PEAK,"Headway / Schedule Adherence",10.000000000,18.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2016-10-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2016-10-01,OFF_PEAK,"Headway / Schedule Adherence",18.000000000,18.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2016-10-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2016-10-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2016-10-01,OFF_PEAK,"Headway / Schedule Adherence",10.000000000,13.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2016-10-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2016-10-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2016-10-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
