gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2016-12-01,PEAK,"Passenger Wait Time",47794.392060833,51770.640188606,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2016-12-01,OFF_PEAK,"Passenger Wait Time",81104.132989465,92228.984993483,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2016-12-01,PEAK,"Passenger Wait Time",46761.584338470,50378.674341687,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2016-12-01,OFF_PEAK,"Passenger Wait Time",87090.604650144,93570.318936905,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2016-12-01,PEAK,"Passenger Wait Time",4020.493883356,5542.362164943,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2016-12-01,OFF_PEAK,"Passenger Wait Time",14435.233531815,18665.683804325,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2016-12-01,PEAK,"Passenger Wait Time",7353.076670606,10143.900740853,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2016-12-01,OFF_PEAK,"Passenger Wait Time",19980.640121688,27575.993241585,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2016-12-01,PEAK,"Passenger Wait Time",8303.221891808,11757.459084571,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2016-12-01,OFF_PEAK,"Passenger Wait Time",20526.189402568,27231.201445154,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2016-12-01,OFF_PEAK,"Passenger Wait Time",24682.413135481,34048.743892631,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2016-12-01,PEAK,"Passenger Wait Time",10518.523862938,14961.069414095,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2016-12-01,PEAK,"Passenger Wait Time",17077.010071812,18015.255422882,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2016-12-01,OFF_PEAK,"Passenger Wait Time",36485.030499108,39028.132826438,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2016-12-01,OFF_PEAK,"Headway / Schedule Adherence",938.000000000,1027.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2016-12-01,PEAK,"Headway / Schedule Adherence",237.000000000,257.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2016-12-01,OFF_PEAK,"Headway / Schedule Adherence",621.000000000,683.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2016-12-01,PEAK,"Headway / Schedule Adherence",375.000000000,405.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2016-12-01,OFF_PEAK,"Headway / Schedule Adherence",519.000000000,733.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2016-12-01,PEAK,"Headway / Schedule Adherence",126.000000000,226.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2016-12-01,PEAK,"Headway / Schedule Adherence",487.000000000,786.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2016-12-01,OFF_PEAK,"Headway / Schedule Adherence",1139.000000000,1563.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2016-12-01,OFF_PEAK,"Headway / Schedule Adherence",29.000000000,29.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2016-12-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2016-12-01,PEAK,"Headway / Schedule Adherence",11.000000000,14.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2016-12-01,OFF_PEAK,"Headway / Schedule Adherence",21.000000000,24.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2016-12-01,PEAK,"Headway / Schedule Adherence",19.000000000,21.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2016-12-01,OFF_PEAK,"Headway / Schedule Adherence",27.000000000,33.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2016-12-01,OFF_PEAK,"Headway / Schedule Adherence",21.000000000,23.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2016-12-01,PEAK,"Headway / Schedule Adherence",12.000000000,15.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2016-12-01,PEAK,"Headway / Schedule Adherence",10.000000000,10.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2016-12-01,OFF_PEAK,"Headway / Schedule Adherence",13.000000000,13.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2016-12-01,OFF_PEAK,"Headway / Schedule Adherence",25.000000000,28.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2016-12-01,PEAK,"Headway / Schedule Adherence",14.000000000,16.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2016-12-01,OFF_PEAK,"Headway / Schedule Adherence",13.000000000,15.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2016-12-01,PEAK,"Headway / Schedule Adherence",6.000000000,9.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2016-12-01,OFF_PEAK,"Headway / Schedule Adherence",33.000000000,35.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2016-12-01,PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2016-12-01,OFF_PEAK,"Headway / Schedule Adherence",12.000000000,13.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2016-12-01,PEAK,"Headway / Schedule Adherence",10.000000000,10.000000000,.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2016-12-01,OFF_PEAK,"Headway / Schedule Adherence",18.000000000,20.000000000,1.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2016-12-01,PEAK,"Headway / Schedule Adherence",5.000000000,10.000000000,1.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-12-01,PEAK,"Headway / Schedule Adherence",11.000000000,13.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-12-01,OFF_PEAK,"Headway / Schedule Adherence",22.000000000,24.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-12-01,PEAK,"Headway / Schedule Adherence",8.000000000,10.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2016-12-01,OFF_PEAK,"Headway / Schedule Adherence",20.000000000,20.000000000,.000000000
