gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2018-01-01,OFF_PEAK,"Passenger Wait Time",88683.844568530,100599.137203825,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2018-01-01,PEAK,"Passenger Wait Time",69497.153842874,76869.315425537,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2018-01-01,PEAK,"Passenger Wait Time",60556.385998060,69294.408305568,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2018-01-01,OFF_PEAK,"Passenger Wait Time",85650.233129126,94764.733664989,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2018-01-01,PEAK,"Passenger Wait Time",6903.963093143,9085.190096288,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2018-01-01,OFF_PEAK,"Passenger Wait Time",12009.695487385,18021.467533534,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2018-01-01,OFF_PEAK,"Passenger Wait Time",21470.315765721,28199.511028375,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2018-01-01,PEAK,"Passenger Wait Time",12803.851821193,16312.666249314,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2018-01-01,OFF_PEAK,"Passenger Wait Time",18893.921530735,24477.982728319,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2018-01-01,PEAK,"Passenger Wait Time",12823.565107425,15447.289239115,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2018-01-01,OFF_PEAK,"Passenger Wait Time",27550.163323910,33592.011016552,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2018-01-01,PEAK,"Passenger Wait Time",19177.224304485,23351.259576194,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2018-01-01,OFF_PEAK,"Passenger Wait Time",29485.055831472,33262.114454737,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2018-01-01,PEAK,"Passenger Wait Time",12140.039385485,14147.644087122,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2018-01-01,OFF_PEAK,"Headway / Schedule Adherence",1115.000000000,1298.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2018-01-01,OFF_PEAK,"Headway / Schedule Adherence",409.000000000,512.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2018-01-01,OFF_PEAK,"Headway / Schedule Adherence",818.000000000,1012.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2018-01-01,OFF_PEAK,"Headway / Schedule Adherence",1836.000000000,2195.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2018-01-01,OFF_PEAK,"Headway / Schedule Adherence",31.000000000,32.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2018-01-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2018-01-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2018-01-01,OFF_PEAK,"Headway / Schedule Adherence",11.000000000,14.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2018-01-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,18.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2018-01-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2018-01-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2018-01-01,OFF_PEAK,"Headway / Schedule Adherence",12.000000000,14.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2018-01-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2018-01-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2018-01-01,OFF_PEAK,"Headway / Schedule Adherence",12.000000000,12.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2018-01-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2018-01-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2018-01-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,16.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2018-01-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2018-01-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2018-01-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
