gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2018-04-01,OFF_PEAK,"Passenger Wait Time",71242.478149194,77279.455658792,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2018-04-01,OFF_PEAK,"Passenger Wait Time",63728.515355698,64902.762463012,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2018-04-01,OFF_PEAK,"Passenger Wait Time",20604.829822188,24433.595540275,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2018-04-01,OFF_PEAK,"Passenger Wait Time",24448.927287192,29210.052608422,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2018-04-01,OFF_PEAK,"Passenger Wait Time",22474.335618435,27011.426030749,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2018-04-01,OFF_PEAK,"Passenger Wait Time",28125.073797977,32157.926976056,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2018-04-01,OFF_PEAK,"Passenger Wait Time",31237.822289600,31592.121236436,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",541.000000000,690.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",823.000000000,1156.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",1987.000000000,2651.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2018-04-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",32.000000000,32.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",13.000000000,14.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2018-04-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",18.000000000,18.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2018-04-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",14.000000000,14.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2018-04-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2018-04-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",13.000000000,16.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2018-04-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",12.000000000,12.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",14.000000000,16.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2018-04-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2018-04-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",12.000000000,16.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2018-04-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,16.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2018-04-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",12.000000000,12.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2018-04-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",13.000000000,14.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",11.000000000,14.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2018-04-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",762.000000000,1125.000000000,
8,8,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",334.000000000,486.000000000,
9,9,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",341.000000000,441.000000000,
10,10,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",233.000000000,350.000000000,
11,11,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",328.000000000,403.000000000,
15,15,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",606.000000000,742.000000000,
16,16,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",196.000000000,345.000000000,
17,17,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",133.000000000,159.000000000,
21,21,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",141.000000000,155.000000000,
22,22,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",694.000000000,946.000000000,
23,23,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",842.000000000,1121.000000000,
24,24,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",169.000000000,192.000000000,
26,26,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",80.000000000,90.000000000,
28,28,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",748.000000000,1065.000000000,
30,30,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",98.000000000,137.000000000,
31,31,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",305.000000000,525.000000000,
32,32,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",688.000000000,851.000000000,
34,34,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",217.000000000,327.000000000,
34E,34E,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",420.000000000,588.000000000,
35,35,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",99.000000000,131.000000000,
36,36,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",386.000000000,468.000000000,
39,39,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",1124.000000000,1435.000000000,
40,40,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",67.000000000,82.000000000,
41,41,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",128.000000000,216.000000000,
42,42,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",144.000000000,183.000000000,
43,43,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",245.000000000,404.000000000,
44,44,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",257.000000000,339.000000000,
45,45,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",201.000000000,280.000000000,
47,47,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",221.000000000,356.000000000,
55,55,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",103.000000000,180.000000000,
57,57,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",873.000000000,1045.000000000,
59,59,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",85.000000000,111.000000000,
60,60,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",183.000000000,254.000000000,
64,64,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",70.000000000,96.000000000,
66,66,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",818.000000000,1065.000000000,
69,69,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",202.000000000,235.000000000,
70,70,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",479.000000000,644.000000000,
71,71,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",458.000000000,604.000000000,
725,72/75,,"Limited Service","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",245.000000000,264.000000000,
73,73,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",452.000000000,594.000000000,
77,77,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",830.000000000,1058.000000000,
78,78,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",223.000000000,281.000000000,
80,80,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",200.000000000,223.000000000,
83,83,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",176.000000000,202.000000000,
86,86,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",226.000000000,303.000000000,
87,87,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",325.000000000,390.000000000,
88,88,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",346.000000000,391.000000000,
89,89,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",126.000000000,152.000000000,
90,90,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",48.000000000,69.000000000,
91,91,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",100.000000000,168.000000000,
93,93,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",91.000000000,172.000000000,
94,94,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",182.000000000,206.000000000,
95,95,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",82.000000000,124.000000000,
96,96,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",243.000000000,284.000000000,
97,97,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",72.000000000,100.000000000,
99,99,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",159.000000000,194.000000000,
100,100,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",170.000000000,187.000000000,
101,101,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",190.000000000,264.000000000,
104,104,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",115.000000000,251.000000000,
105,105,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",31.000000000,109.000000000,
106,106,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",176.000000000,239.000000000,
108,108,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",51.000000000,129.000000000,
109,109,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",166.000000000,280.000000000,
110,110,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",208.000000000,246.000000000,
111,111,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",1671.000000000,2052.000000000,
112,112,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",126.000000000,152.000000000,
116,116,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",248.000000000,332.000000000,
117,117,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",301.000000000,402.000000000,
119,119,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",34.000000000,98.000000000,
120,120,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",86.000000000,187.000000000,
134,134,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",178.000000000,220.000000000,
136,136,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",42.000000000,48.000000000,
137,137,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",46.000000000,56.000000000,
171,171,,"Limited Service","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",.000000000,4.000000000,
201,201,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",77.000000000,111.000000000,
202,202,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",44.000000000,55.000000000,
210,210,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",1.000000000,2.000000000,
211,211,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",55.000000000,81.000000000,
215,215,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",160.000000000,261.000000000,
216,216,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",124.000000000,178.000000000,
220,220,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",159.000000000,235.000000000,
222,222,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",120.000000000,176.000000000,
225,225,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",176.000000000,234.000000000,
230,230,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",174.000000000,231.000000000,
236,236,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",99.000000000,157.000000000,
238,238,,"Local Bus","Other Bus",Bus,2018-04-01,OFF_PEAK,"Headway / Schedule Adherence",161.000000000,216.000000000,
