gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2018-08-01,PEAK,"Passenger Wait Time",72273.276227870,76981.255850192,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2018-08-01,OFF_PEAK,"Passenger Wait Time",96915.382827399,104923.355613552,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2018-08-01,PEAK,"Passenger Wait Time",42039.209807454,45515.011273040,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2018-08-01,OFF_PEAK,"Passenger Wait Time",59585.513234059,65058.712833962,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2018-08-01,OFF_PEAK,"Passenger Wait Time",4464.309333956,5936.686622856,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2018-08-01,PEAK,"Passenger Wait Time",1968.373587271,2668.185422499,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2018-08-01,OFF_PEAK,"Passenger Wait Time",20453.077631157,27882.653776796,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2018-08-01,PEAK,"Passenger Wait Time",11210.612328780,16523.786452520,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2018-08-01,PEAK,"Passenger Wait Time",13909.124760345,20239.698472787,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2018-08-01,OFF_PEAK,"Passenger Wait Time",23467.647384393,30433.495859391,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2018-08-01,PEAK,"Passenger Wait Time",17515.418330979,24600.844884423,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2018-08-01,OFF_PEAK,"Passenger Wait Time",28859.927229896,38398.492382221,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2018-08-01,PEAK,"Passenger Wait Time",16236.189804014,16897.133269247,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2018-08-01,OFF_PEAK,"Passenger Wait Time",29622.258842743,31839.951193365,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2018-08-01,PEAK,"Headway / Schedule Adherence",222.000000000,272.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2018-08-01,OFF_PEAK,"Headway / Schedule Adherence",946.000000000,1159.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2018-08-01,PEAK,"Headway / Schedule Adherence",271.000000000,317.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2018-08-01,OFF_PEAK,"Headway / Schedule Adherence",303.000000000,398.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2018-08-01,OFF_PEAK,"Headway / Schedule Adherence",1021.000000000,1353.000000000,
