gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2018-09-01,OFF_PEAK,"Passenger Wait Time",92156.173924901,103526.055494057,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2018-09-01,OFF_PEAK,"Passenger Wait Time",19495.511793640,27318.460853210,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2018-09-01,OFF_PEAK,"Passenger Wait Time",21608.013683712,28732.858149565,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2018-09-01,OFF_PEAK,"Passenger Wait Time",30545.581259814,40691.966757818,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2018-09-01,OFF_PEAK,"Passenger Wait Time",27833.341621860,36116.655753441,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2018-09-01,OFF_PEAK,"Passenger Wait Time",33003.028038598,43613.984145450,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2018-09-01,OFF_PEAK,"Passenger Wait Time",39033.578565533,41728.150586043,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2018-09-01,OFF_PEAK,"Headway / Schedule Adherence",901.000000000,1140.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2018-09-01,OFF_PEAK,"Headway / Schedule Adherence",438.000000000,496.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2018-09-01,OFF_PEAK,"Headway / Schedule Adherence",740.000000000,1268.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2018-09-01,OFF_PEAK,"Headway / Schedule Adherence",1724.000000000,2314.000000000,
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2018-09-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2018-09-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2018-09-01,OFF_PEAK,"Headway / Schedule Adherence",18.000000000,19.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2018-09-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2018-09-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2018-09-01,OFF_PEAK,"Headway / Schedule Adherence",18.000000000,18.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2018-09-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2018-09-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2018-09-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2018-09-01,OFF_PEAK,"Headway / Schedule Adherence",13.000000000,13.000000000,.000000000
