survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
518,2018-02-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",798,"Extremely Dissatisfied",.0601000000,"Very Dissatisfied",.0601000000,"Somewhat Dissatisfied",.1358000000,Neutral,.0902000000,"Somewhat Satisfied",.2404000000,"Very Satisfied",.3107000000,"Extremely Satisfied",.0632000000
519,2018-02-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",788,"Extremely Dissatisfied",.0836000000,"Very Dissatisfied",.0836000000,"Somewhat Dissatisfied",.0814000000,Neutral,.1114000000,"Somewhat Satisfied",.1597000000,"Very Satisfied",.3689000000,"Extremely Satisfied",.1275999999
520,2018-02-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",785,"Extremely Unlikely",.0107000000,"Very Unlikely",.0107000000,"Somewhat Unlikely",.0101000000,"Neither Likely nor Unlikely",.0246000000,"Somewhat Likely",.0597000000,"Very Likely",.2073000000,"Extremely Likely",.6786000000
521,2018-02-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",785,"Extremely Unlikely",.0732000000,"Very Unlikely",.0732000000,"Somewhat Unlikely",.0435000000,"Neither Likely nor Unlikely",.1552000000,"Somewhat Likely",.2003000000,"Very Likely",.2157000000,"Extremely Likely",.2647999999
522,2018-02-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",781,"Strongly Disagree",.1609000000,Disagree,.1609000000,"Slightly Disagree",.1303000000,"Neither Agree nor Disagree",.1058000000,"Slightly Agree",.2414000000,Agree,.1821000000,"Strongly Agree",.0328000000
523,2018-02-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",781,"Strongly Disagree",.1860000000,Disagree,.1860000000,"Slightly Disagree",.1429000000,"Neither Agree nor Disagree",.2377000000,"Slightly Agree",.1369000000,Agree,.1337000000,"Strongly Agree",.0352000000
524,2018-02-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",783,"Strongly Disagree",.0970000000,Disagree,.0970000000,"Slightly Disagree",.1345000000,"Neither Agree nor Disagree",.1274000000,"Slightly Agree",.3002000000,Agree,.1986000000,"Strongly Agree",.0458000000
525,2018-02-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",783,"Strongly Disagree",.1045000000,Disagree,.1045000000,"Slightly Disagree",.1216000000,"Neither Agree nor Disagree",.1352000000,"Slightly Agree",.2085000000,Agree,.2466000000,"Strongly Agree",.1097000000
526,2018-02-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",783,"Strongly Disagree",.1812000000,Disagree,.1812000000,"Slightly Disagree",.1658000000,"Neither Agree nor Disagree",.1275999999,"Slightly Agree",.2168000000,Agree,.1375000000,"Strongly Agree",.0251000000
527,2018-02-01,"MBTA Customer Opinion Panel","Wait time at stop",782,Unacceptable,.0882000000,"Very Poor",.0882000000,Poor,.0661999999,Fair,.1087000000,Good,.1110000000,"Very Good",.3058000000,Excellent,.2539000000
528,2018-02-01,"MBTA Customer Opinion Panel","Stop condition &amp; cleanliness",774,Unacceptable,.0454000000,"Very Poor",.0454000000,Poor,.0855000000,Fair,.1795000000,Good,.1545000000,"Very Good",.3467000000,Excellent,.1246000000
529,2018-02-01,"MBTA Customer Opinion Panel","Vehicle crowdedness",779,Unacceptable,.0843000000,"Very Poor",.0843000000,Poor,.0798000000,Fair,.1543000000,Good,.1165000000,"Very Good",.2981000000,Excellent,.2075000000
530,2018-02-01,"MBTA Customer Opinion Panel","Vehicle cleanliness",781,Unacceptable,.0342000000,"Very Poor",.0342000000,Poor,.0791000000,Fair,.2159000000,Good,.1275000000,"Very Good",.3810000000,Excellent,.1196000000
531,2018-02-01,"MBTA Customer Opinion Panel","Speed/travel time",780,Unacceptable,.0683000000,"Very Poor",.0683000000,Poor,.1080000000,Fair,.1303999999,Good,.1234000000,"Very Good",.3440000000,Excellent,.1612000000
532,2018-02-01,"MBTA Customer Opinion Panel","Parking availability",230,Unacceptable,.1240000000,"Very Poor",.1240000000,Poor,.0578000000,Fair,.1860000000,Good,.0724000000,"Very Good",.2820000000,Excellent,.2218000000
533,2018-02-01,"MBTA Customer Opinion Panel","Real-time communications",722,Unacceptable,.1024000000,"Very Poor",.1024000000,Poor,.0978000000,Fair,.1689000000,Good,.1244000000,"Very Good",.3116000000,Excellent,.1280000000
534,2018-02-01,"MBTA Customer Opinion Panel","How satisfied are you with the MBTA's communication overall?",798,"Extremely Dissatisfied",.0545000000,"Very Dissatisfied",.0545000000,"Somewhat Dissatisfied",.1392000000,Neutral,.1439000000,"Somewhat Satisfied",.2273000000,"Very Satisfied",.2835000000,"Extremely Satisfied",.0425000000
535,2018-02-01,"MBTA Customer Opinion Panel",,788,"Extremely Dissatisfied",.0836000000,"Very Dissatisfied",.0836000000,"Somewhat Dissatisfied",.0814000000,Neutral,.1114000000,"Somewhat Satisfied",.1597000000,"Very Satisfied",.3689000000,"Extremely Satisfied",.1275999999
1128,2018-02-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",798,"Extremely Dissatisfied",.0601000000,"Very Dissatisfied",.0601000000,"Somewhat Dissatisfied",.1358000000,Neutral,.0902000000,"Somewhat Satisfied",.2404000000,"Very Satisfied",.3107000000,"Extremely Satisfied",.0632000000
1129,2018-02-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",788,"Extremely Dissatisfied",.0836000000,"Very Dissatisfied",.0836000000,"Somewhat Dissatisfied",.0814000000,Neutral,.1114000000,"Somewhat Satisfied",.1597000000,"Very Satisfied",.3689000000,"Extremely Satisfied",.1275999999
1130,2018-02-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",785,"Extremely Unlikely",.0107000000,"Very Unlikely",.0107000000,"Somewhat Unlikely",.0101000000,"Neither Likely nor Unlikely",.0246000000,"Somewhat Likely",.0597000000,"Very Likely",.2073000000,"Extremely Likely",.6786000000
1131,2018-02-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",785,"Extremely Unlikely",.0732000000,"Very Unlikely",.0732000000,"Somewhat Unlikely",.0435000000,"Neither Likely nor Unlikely",.1552000000,"Somewhat Likely",.2003000000,"Very Likely",.2157000000,"Extremely Likely",.2647999999
1132,2018-02-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",781,"Strongly Disagree",.1609000000,Disagree,.1609000000,"Slightly Disagree",.1303000000,"Neither Agree nor Disagree",.1058000000,"Slightly Agree",.2414000000,Agree,.1821000000,"Strongly Agree",.0328000000
1133,2018-02-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",781,"Strongly Disagree",.1860000000,Disagree,.1860000000,"Slightly Disagree",.1429000000,"Neither Agree nor Disagree",.2377000000,"Slightly Agree",.1369000000,Agree,.1337000000,"Strongly Agree",.0352000000
1134,2018-02-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",783,"Strongly Disagree",.0970000000,Disagree,.0970000000,"Slightly Disagree",.1345000000,"Neither Agree nor Disagree",.1274000000,"Slightly Agree",.3002000000,Agree,.1986000000,"Strongly Agree",.0458000000
1135,2018-02-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",783,"Strongly Disagree",.1045000000,Disagree,.1045000000,"Slightly Disagree",.1216000000,"Neither Agree nor Disagree",.1352000000,"Slightly Agree",.2085000000,Agree,.2466000000,"Strongly Agree",.1097000000
1136,2018-02-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",783,"Strongly Disagree",.1812000000,Disagree,.1812000000,"Slightly Disagree",.1658000000,"Neither Agree nor Disagree",.1275999999,"Slightly Agree",.2168000000,Agree,.1375000000,"Strongly Agree",.0251000000
1137,2018-02-01,"MBTA Customer Opinion Panel","Wait time at stop",782,Unacceptable,.0882000000,"Very Poor",.0882000000,Poor,.0661999999,Fair,.1087000000,Good,.1110000000,"Very Good",.3058000000,Excellent,.2539000000
1138,2018-02-01,"MBTA Customer Opinion Panel","Stop condition &amp; cleanliness",774,Unacceptable,.0454000000,"Very Poor",.0454000000,Poor,.0855000000,Fair,.1795000000,Good,.1545000000,"Very Good",.3467000000,Excellent,.1246000000
1139,2018-02-01,"MBTA Customer Opinion Panel","Vehicle crowdedness",779,Unacceptable,.0843000000,"Very Poor",.0843000000,Poor,.0798000000,Fair,.1543000000,Good,.1165000000,"Very Good",.2981000000,Excellent,.2075000000
1140,2018-02-01,"MBTA Customer Opinion Panel","Vehicle cleanliness",781,Unacceptable,.0342000000,"Very Poor",.0342000000,Poor,.0791000000,Fair,.2159000000,Good,.1275000000,"Very Good",.3810000000,Excellent,.1196000000
1141,2018-02-01,"MBTA Customer Opinion Panel","Speed/travel time",780,Unacceptable,.0683000000,"Very Poor",.0683000000,Poor,.1080000000,Fair,.1303999999,Good,.1234000000,"Very Good",.3440000000,Excellent,.1612000000
1142,2018-02-01,"MBTA Customer Opinion Panel","Parking availability",230,Unacceptable,.1240000000,"Very Poor",.1240000000,Poor,.0578000000,Fair,.1860000000,Good,.0724000000,"Very Good",.2820000000,Excellent,.2218000000
1143,2018-02-01,"MBTA Customer Opinion Panel","Real-time communications",722,Unacceptable,.1024000000,"Very Poor",.1024000000,Poor,.0978000000,Fair,.1689000000,Good,.1244000000,"Very Good",.3116000000,Excellent,.1280000000
1144,2018-02-01,"MBTA Customer Opinion Panel","How satisfied are you with the MBTA's communication overall?",798,"Extremely Dissatisfied",.0545000000,"Very Dissatisfied",.0545000000,"Somewhat Dissatisfied",.1392000000,Neutral,.1439000000,"Somewhat Satisfied",.2273000000,"Very Satisfied",.2835000000,"Extremely Satisfied",.0425000000
1145,2018-02-01,"MBTA Customer Opinion Panel",,788,"Extremely Dissatisfied",.0836000000,"Very Dissatisfied",.0836000000,"Somewhat Dissatisfied",.0814000000,Neutral,.1114000000,"Somewhat Satisfied",.1597000000,"Very Satisfied",.3689000000,"Extremely Satisfied",.1275999999
