survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
554,2018-04-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",688,"Extremely Dissatisfied",.0565000000,"Very Dissatisfied",.0565000000,"Somewhat Dissatisfied",.1113000000,Neutral,.0782000000,"Somewhat Satisfied",.2401000000,"Very Satisfied",.3701000000,"Extremely Satisfied",.0498000000
555,2018-04-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",683,"Extremely Dissatisfied",.0839000000,"Very Dissatisfied",.0839000000,"Somewhat Dissatisfied",.0568000000,Neutral,.0995000000,"Somewhat Satisfied",.1632000000,"Very Satisfied",.4028000000,"Extremely Satisfied",.1118000000
556,2018-04-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",681,"Extremely Unlikely",.0070000000,"Very Unlikely",.0070000000,"Somewhat Unlikely",.0115000000,"Neither Likely nor Unlikely",.0525000000,"Somewhat Likely",.0374000000,"Very Likely",.1994000000,"Extremely Likely",.6872000000
557,2018-04-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",681,"Extremely Unlikely",.0580000000,"Very Unlikely",.0580000000,"Somewhat Unlikely",.0621000000,"Neither Likely nor Unlikely",.1328999999,"Somewhat Likely",.1888000000,"Very Likely",.2144000000,"Extremely Likely",.3009000000
558,2018-04-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",681,"Strongly Disagree",.1318999999,Disagree,.1318999999,"Slightly Disagree",.1552000000,"Neither Agree nor Disagree",.0981000000,"Slightly Agree",.2180000000,Agree,.2346000000,"Strongly Agree",.0457000000
559,2018-04-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",680,"Strongly Disagree",.1412000000,Disagree,.1412000000,"Slightly Disagree",.1277000000,"Neither Agree nor Disagree",.2200000000,"Slightly Agree",.1528000000,Agree,.1865000000,"Strongly Agree",.0402000000
560,2018-04-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",682,"Strongly Disagree",.0857000000,Disagree,.0857000000,"Slightly Disagree",.1231000000,"Neither Agree nor Disagree",.1326000000,"Slightly Agree",.2541999999,Agree,.2785000000,"Strongly Agree",.0295000000
561,2018-04-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",682,"Strongly Disagree",.0725000000,Disagree,.0725000000,"Slightly Disagree",.1100000000,"Neither Agree nor Disagree",.1340000000,"Slightly Agree",.2048000000,Agree,.2733000000,"Strongly Agree",.1201000000
562,2018-04-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",682,"Strongly Disagree",.1305000000,Disagree,.1305000000,"Slightly Disagree",.1581000000,"Neither Agree nor Disagree",.1402000000,"Slightly Agree",.1909000000,Agree,.2058000000,"Strongly Agree",.0206000000
563,2018-04-01,"MBTA Customer Opinion Panel","Wait time at stop",681,Unacceptable,.0801000000,"Very Poor",.0801000000,Poor,.0727000000,Fair,.0891000000,Good,.0895000000,"Very Good",.3517000000,Excellent,.2528000000
564,2018-04-01,"MBTA Customer Opinion Panel","Stop condition &amp; cleanliness",676,Unacceptable,.0313000000,"Very Poor",.0313000000,Poor,.0782000000,Fair,.1770000000,Good,.1150000000,"Very Good",.4045000000,Excellent,.1313999999
565,2018-04-01,"MBTA Customer Opinion Panel","Vehicle crowdedness",677,Unacceptable,.0779000000,"Very Poor",.0779000000,Poor,.1059000000,Fair,.0948000000,Good,.1157000000,"Very Good",.3537000000,Excellent,.1838000000
566,2018-04-01,"MBTA Customer Opinion Panel","Vehicle cleanliness",678,Unacceptable,.0283000000,"Very Poor",.0283000000,Poor,.0829000000,Fair,.1393000000,Good,.1383000000,"Very Good",.4174000000,Excellent,.1427000000
567,2018-04-01,"MBTA Customer Opinion Panel","Speed/travel time",681,Unacceptable,.0816000000,"Very Poor",.0816000000,Poor,.0821000000,Fair,.0927000000,Good,.1603000000,"Very Good",.3478000000,Excellent,.1770000000
568,2018-04-01,"MBTA Customer Opinion Panel","Parking availability",178,Unacceptable,.0834000000,"Very Poor",.0834000000,Poor,.0297000000,Fair,.2050000000,Good,.0931000000,"Very Good",.2899000000,Excellent,.2251000000
569,2018-04-01,"MBTA Customer Opinion Panel","Real-time communications",622,Unacceptable,.0806000000,"Very Poor",.0806000000,Poor,.0778000000,Fair,.1263000000,Good,.1320000000,"Very Good",.3765000000,Excellent,.1377000000
570,2018-04-01,"MBTA Customer Opinion Panel","How satisfied are you with the MBTA's communication overall?",688,"Extremely Dissatisfied",.0467000000,"Very Dissatisfied",.0467000000,"Somewhat Dissatisfied",.1136000000,Neutral,.1521000000,"Somewhat Satisfied",.2142000000,"Very Satisfied",.3415000000,"Extremely Satisfied",.0431000000
571,2018-04-01,"MBTA Customer Opinion Panel",,683,"Extremely Dissatisfied",.0839000000,"Very Dissatisfied",.0839000000,"Somewhat Dissatisfied",.0568000000,Neutral,.0995000000,"Somewhat Satisfied",.1632000000,"Very Satisfied",.4028000000,"Extremely Satisfied",.1118000000
1164,2018-04-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",688,"Extremely Dissatisfied",.0565000000,"Very Dissatisfied",.0565000000,"Somewhat Dissatisfied",.1113000000,Neutral,.0782000000,"Somewhat Satisfied",.2401000000,"Very Satisfied",.3701000000,"Extremely Satisfied",.0498000000
1165,2018-04-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",683,"Extremely Dissatisfied",.0839000000,"Very Dissatisfied",.0839000000,"Somewhat Dissatisfied",.0568000000,Neutral,.0995000000,"Somewhat Satisfied",.1632000000,"Very Satisfied",.4028000000,"Extremely Satisfied",.1118000000
1166,2018-04-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",681,"Extremely Unlikely",.0070000000,"Very Unlikely",.0070000000,"Somewhat Unlikely",.0115000000,"Neither Likely nor Unlikely",.0525000000,"Somewhat Likely",.0374000000,"Very Likely",.1994000000,"Extremely Likely",.6872000000
1167,2018-04-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",681,"Extremely Unlikely",.0580000000,"Very Unlikely",.0580000000,"Somewhat Unlikely",.0621000000,"Neither Likely nor Unlikely",.1328999999,"Somewhat Likely",.1888000000,"Very Likely",.2144000000,"Extremely Likely",.3009000000
1168,2018-04-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",681,"Strongly Disagree",.1318999999,Disagree,.1318999999,"Slightly Disagree",.1552000000,"Neither Agree nor Disagree",.0981000000,"Slightly Agree",.2180000000,Agree,.2346000000,"Strongly Agree",.0457000000
