survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
572,2018-05-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",768,"Extremely Dissatisfied",.0566000000,"Very Dissatisfied",.0566000000,"Somewhat Dissatisfied",.1190000000,Neutral,.1000000000,"Somewhat Satisfied",.2090000000,"Very Satisfied",.3308000000,"Extremely Satisfied",.0691000000
573,2018-05-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",757,"Extremely Dissatisfied",.0993000000,"Very Dissatisfied",.0993000000,"Somewhat Dissatisfied",.0850000000,Neutral,.1175000000,"Somewhat Satisfied",.1494000000,"Very Satisfied",.3536000000,"Extremely Satisfied",.1127000000
574,2018-05-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",754,"Extremely Unlikely",.0115000000,"Very Unlikely",.0115000000,"Somewhat Unlikely",.0159000000,"Neither Likely nor Unlikely",.0435000000,"Somewhat Likely",.0598000000,"Very Likely",.2102000000,"Extremely Likely",.6525000000
575,2018-05-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",754,"Extremely Unlikely",.0880000000,"Very Unlikely",.0880000000,"Somewhat Unlikely",.0443000000,"Neither Likely nor Unlikely",.1101000000,"Somewhat Likely",.1846000000,"Very Likely",.2332000000,"Extremely Likely",.2796000000
576,2018-05-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",751,"Strongly Disagree",.1507000000,Disagree,.1507000000,"Slightly Disagree",.1428000000,"Neither Agree nor Disagree",.1122000000,"Slightly Agree",.2377000000,Agree,.1867000000,"Strongly Agree",.0486000000
577,2018-05-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",752,"Strongly Disagree",.1426000000,Disagree,.1426000000,"Slightly Disagree",.1421000000,"Neither Agree nor Disagree",.1839000000,"Slightly Agree",.1725000000,Agree,.1781000000,"Strongly Agree",.0469000000
578,2018-05-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",751,"Strongly Disagree",.0971000000,Disagree,.0971000000,"Slightly Disagree",.1058000000,"Neither Agree nor Disagree",.1477000000,"Slightly Agree",.2584000000,Agree,.2363000000,"Strongly Agree",.0546000000
579,2018-05-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",750,"Strongly Disagree",.0914000000,Disagree,.0914000000,"Slightly Disagree",.1064000000,"Neither Agree nor Disagree",.1541000000,"Slightly Agree",.1748000000,Agree,.2644000000,"Strongly Agree",.1318000000
580,2018-05-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",752,"Strongly Disagree",.1647000000,Disagree,.1647000000,"Slightly Disagree",.1601000000,"Neither Agree nor Disagree",.1336000000,"Slightly Agree",.1867000000,Agree,.1802000000,"Strongly Agree",.0298000000
581,2018-05-01,"MBTA Customer Opinion Panel","Wait time at stop",752,Unacceptable,.1104000000,"Very Poor",.1104000000,Poor,.0783000000,Fair,.1068000000,Good,.1043000000,"Very Good",.3026000000,Excellent,.2324000000
582,2018-05-01,"MBTA Customer Opinion Panel","Stop condition &amp; cleanliness",739,Unacceptable,.0469000000,"Very Poor",.0469000000,Poor,.0900000000,Fair,.1717000000,Good,.1115000000,"Very Good",.3764000000,Excellent,.1188000000
583,2018-05-01,"MBTA Customer Opinion Panel","Vehicle crowdedness",749,Unacceptable,.1006000000,"Very Poor",.1006000000,Poor,.0867000000,Fair,.1313000000,Good,.1041000000,"Very Good",.3520000000,Excellent,.1574000000
584,2018-05-01,"MBTA Customer Opinion Panel","Vehicle cleanliness",747,Unacceptable,.0319000000,"Very Poor",.0319000000,Poor,.0965000000,Fair,.1658000000,Good,.1209000000,"Very Good",.4161000000,Excellent,.1174000000
585,2018-05-01,"MBTA Customer Opinion Panel","Speed/travel time",750,Unacceptable,.0821000000,"Very Poor",.0821000000,Poor,.0908000000,Fair,.1064000000,Good,.1414000000,"Very Good",.3405000000,Excellent,.1508000000
586,2018-05-01,"MBTA Customer Opinion Panel","Parking availability",238,Unacceptable,.1222000000,"Very Poor",.1222000000,Poor,.0510000000,Fair,.1972000000,Good,.0367000000,"Very Good",.3263000000,Excellent,.2156000000
587,2018-05-01,"MBTA Customer Opinion Panel","Real-time communications",704,Unacceptable,.1059000000,"Very Poor",.1059000000,Poor,.1061000000,Fair,.1434000000,Good,.1119000000,"Very Good",.3378000000,Excellent,.1290999999
588,2018-05-01,"MBTA Customer Opinion Panel","How satisfied are you with the MBTA's communication overall?",768,"Extremely Dissatisfied",.0540000000,"Very Dissatisfied",.0540000000,"Somewhat Dissatisfied",.1067000000,Neutral,.1664000000,"Somewhat Satisfied",.2118000000,"Very Satisfied",.2939000000,"Extremely Satisfied",.0584000000
589,2018-05-01,"MBTA Customer Opinion Panel",,757,"Extremely Dissatisfied",.0993000000,"Very Dissatisfied",.0993000000,"Somewhat Dissatisfied",.0850000000,Neutral,.1175000000,"Somewhat Satisfied",.1494000000,"Very Satisfied",.3536000000,"Extremely Satisfied",.1127000000
1182,2018-05-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",768,"Extremely Dissatisfied",.0566000000,"Very Dissatisfied",.0566000000,"Somewhat Dissatisfied",.1190000000,Neutral,.1000000000,"Somewhat Satisfied",.2090000000,"Very Satisfied",.3308000000,"Extremely Satisfied",.0691000000
