survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
590,2018-06-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",779,"Extremely Dissatisfied",.0668000000,"Very Dissatisfied",.0668000000,"Somewhat Dissatisfied",.1102000000,Neutral,.0734000000,"Somewhat Satisfied",.2106000000,"Very Satisfied",.3713000000,"Extremely Satisfied",.0450000000
591,2018-06-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",729,"Extremely Dissatisfied",.0808000000,"Very Dissatisfied",.0808000000,"Somewhat Dissatisfied",.1002000000,Neutral,.0901000000,"Somewhat Satisfied",.1453000000,"Very Satisfied",.3862000000,"Extremely Satisfied",.1074000000
592,2018-06-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",726,"Extremely Unlikely",.0075000000,"Very Unlikely",.0075000000,"Somewhat Unlikely",.0073000000,"Neither Likely nor Unlikely",.0438000000,"Somewhat Likely",.0536000000,"Very Likely",.2425000000,"Extremely Likely",.6345000000
593,2018-06-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",726,"Extremely Unlikely",.0851000000,"Very Unlikely",.0851000000,"Somewhat Unlikely",.0680000000,"Neither Likely nor Unlikely",.1287000000,"Somewhat Likely",.1659000000,"Very Likely",.2355000000,"Extremely Likely",.2681000000
594,2018-06-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",726,"Strongly Disagree",.1712000000,Disagree,.1712000000,"Slightly Disagree",.1405000000,"Neither Agree nor Disagree",.1033000000,"Slightly Agree",.2528000000,Agree,.1859000000,"Strongly Agree",.0368000000
595,2018-06-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",725,"Strongly Disagree",.1488000000,Disagree,.1488000000,"Slightly Disagree",.1459000000,"Neither Agree nor Disagree",.2099000000,"Slightly Agree",.1355000000,Agree,.1791000000,"Strongly Agree",.0360000000
596,2018-06-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",725,"Strongly Disagree",.1064000000,Disagree,.1064000000,"Slightly Disagree",.1221000000,"Neither Agree nor Disagree",.1219000000,"Slightly Agree",.2661000000,Agree,.2454000000,"Strongly Agree",.0515000000
597,2018-06-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",725,"Strongly Disagree",.0971000000,Disagree,.0971000000,"Slightly Disagree",.0923000000,"Neither Agree nor Disagree",.1263000000,"Slightly Agree",.1896000000,Agree,.2756000000,"Strongly Agree",.1055000000
598,2018-06-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",723,"Strongly Disagree",.1629000000,Disagree,.1629000000,"Slightly Disagree",.1594000000,"Neither Agree nor Disagree",.1204000000,"Slightly Agree",.2303000000,Agree,.1571000000,"Strongly Agree",.0226000000
599,2018-06-01,"MBTA Customer Opinion Panel","Wait time at stop",727,Unacceptable,.0957000000,"Very Poor",.0957000000,Poor,.0863000000,Fair,.1072000000,Good,.0946000000,"Very Good",.3214000000,Excellent,.2361000000
600,2018-06-01,"MBTA Customer Opinion Panel","Stop condition &amp; cleanliness",712,Unacceptable,.0400000000,"Very Poor",.0400000000,Poor,.0945000000,Fair,.1555000000,Good,.1171000000,"Very Good",.4102000000,Excellent,.1048000000
601,2018-06-01,"MBTA Customer Opinion Panel","Vehicle crowdedness",723,Unacceptable,.0990000000,"Very Poor",.0990000000,Poor,.0790000000,Fair,.1013000000,Good,.1173000000,"Very Good",.3380000000,Excellent,.1763000000
602,2018-06-01,"MBTA Customer Opinion Panel","Vehicle cleanliness",720,Unacceptable,.0258000000,"Very Poor",.0258000000,Poor,.0781000000,Fair,.1905000000,Good,.1246000000,"Very Good",.3855000000,Excellent,.1398000000
603,2018-06-01,"MBTA Customer Opinion Panel","Speed/travel time",724,Unacceptable,.0728000000,"Very Poor",.0728000000,Poor,.0732000000,Fair,.1278000000,Good,.1517000000,"Very Good",.3412000000,Excellent,.1560000000
604,2018-06-01,"MBTA Customer Opinion Panel","Parking availability",223,Unacceptable,.0670000000,"Very Poor",.0670000000,Poor,.0266000000,Fair,.1984000000,Good,.1056000000,"Very Good",.3408000000,Excellent,.1736000000
605,2018-06-01,"MBTA Customer Opinion Panel","Real-time communications",678,Unacceptable,.1025000000,"Very Poor",.1025000000,Poor,.0937000000,Fair,.1288000000,Good,.1249000000,"Very Good",.3268000000,Excellent,.1244000000
606,2018-06-01,"MBTA Customer Opinion Panel","How satisfied are you with the MBTA's communication overall?",779,"Extremely Dissatisfied",.0532000000,"Very Dissatisfied",.0532000000,"Somewhat Dissatisfied",.1248000000,Neutral,.1308000000,"Somewhat Satisfied",.2301000000,"Very Satisfied",.3094000000,"Extremely Satisfied",.0383000000
607,2018-06-01,"MBTA Customer Opinion Panel",,729,"Extremely Dissatisfied",.0808000000,"Very Dissatisfied",.0808000000,"Somewhat Dissatisfied",.1002000000,Neutral,.0901000000,"Somewhat Satisfied",.1453000000,"Very Satisfied",.3862000000,"Extremely Satisfied",.1074000000
1200,2018-06-01,"MBTA Customer Opinion Panel","How would you rate the mbta overall?",779,"Extremely Dissatisfied",.0668000000,"Very Dissatisfied",.0668000000,"Somewhat Dissatisfied",.1102000000,Neutral,.0734000000,"Somewhat Satisfied",.2106000000,"Very Satisfied",.3713000000,"Extremely Satisfied",.0450000000
1201,2018-06-01,"MBTA Customer Opinion Panel","How would you rate your most recent trip?",729,"Extremely Dissatisfied",.0808000000,"Very Dissatisfied",.0808000000,"Somewhat Dissatisfied",.1002000000,Neutral,.0901000000,"Somewhat Satisfied",.1453000000,"Very Satisfied",.3862000000,"Extremely Satisfied",.1074000000
1202,2018-06-01,"MBTA Customer Opinion Panel","How likely are you to continue using the mbta in the future?",726,"Extremely Unlikely",.0075000000,"Very Unlikely",.0075000000,"Somewhat Unlikely",.0073000000,"Neither Likely nor Unlikely",.0438000000,"Somewhat Likely",.0536000000,"Very Likely",.2425000000,"Extremely Likely",.6345000000
1203,2018-06-01,"MBTA Customer Opinion Panel","How likely are you to recommend the mbta to a friend or colleague?",726,"Extremely Unlikely",.0851000000,"Very Unlikely",.0851000000,"Somewhat Unlikely",.0680000000,"Neither Likely nor Unlikely",.1287000000,"Somewhat Likely",.1659000000,"Very Likely",.2355000000,"Extremely Likely",.2681000000
1204,2018-06-01,"MBTA Customer Opinion Panel","The mbta provides reliable public transportation services.",726,"Strongly Disagree",.1712000000,Disagree,.1712000000,"Slightly Disagree",.1405000000,"Neither Agree nor Disagree",.1033000000,"Slightly Agree",.2528000000,Agree,.1859000000,"Strongly Agree",.0368000000
1205,2018-06-01,"MBTA Customer Opinion Panel","The mbta is a cost-conscious organization.",725,"Strongly Disagree",.1488000000,Disagree,.1488000000,"Slightly Disagree",.1459000000,"Neither Agree nor Disagree",.2099000000,"Slightly Agree",.1355000000,Agree,.1791000000,"Strongly Agree",.0360000000
1206,2018-06-01,"MBTA Customer Opinion Panel","The mbta uses technology to meet the needs and demands of its riders.",725,"Strongly Disagree",.1064000000,Disagree,.1064000000,"Slightly Disagree",.1221000000,"Neither Agree nor Disagree",.1219000000,"Slightly Agree",.2661000000,Agree,.2454000000,"Strongly Agree",.0515000000
1207,2018-06-01,"MBTA Customer Opinion Panel","The mbta is a good value for the money.",725,"Strongly Disagree",.0971000000,Disagree,.0971000000,"Slightly Disagree",.0923000000,"Neither Agree nor Disagree",.1263000000,"Slightly Agree",.1896000000,Agree,.2756000000,"Strongly Agree",.1055000000
1208,2018-06-01,"MBTA Customer Opinion Panel","The mbta has a fleet of trains and buses that are clean and well maintained.",723,"Strongly Disagree",.1629000000,Disagree,.1629000000,"Slightly Disagree",.1594000000,"Neither Agree nor Disagree",.1204000000,"Slightly Agree",.2303000000,Agree,.1571000000,"Strongly Agree",.0226000000
1209,2018-06-01,"MBTA Customer Opinion Panel","Wait time at stop",727,Unacceptable,.0957000000,"Very Poor",.0957000000,Poor,.0863000000,Fair,.1072000000,Good,.0946000000,"Very Good",.3214000000,Excellent,.2361000000
1210,2018-06-01,"MBTA Customer Opinion Panel","Stop condition &amp; cleanliness",712,Unacceptable,.0400000000,"Very Poor",.0400000000,Poor,.0945000000,Fair,.1555000000,Good,.1171000000,"Very Good",.4102000000,Excellent,.1048000000
1211,2018-06-01,"MBTA Customer Opinion Panel","Vehicle crowdedness",723,Unacceptable,.0990000000,"Very Poor",.0990000000,Poor,.0790000000,Fair,.1013000000,Good,.1173000000,"Very Good",.3380000000,Excellent,.1763000000
1212,2018-06-01,"MBTA Customer Opinion Panel","Vehicle cleanliness",720,Unacceptable,.0258000000,"Very Poor",.0258000000,Poor,.0781000000,Fair,.1905000000,Good,.1246000000,"Very Good",.3855000000,Excellent,.1398000000
1213,2018-06-01,"MBTA Customer Opinion Panel","Speed/travel time",724,Unacceptable,.0728000000,"Very Poor",.0728000000,Poor,.0732000000,Fair,.1278000000,Good,.1517000000,"Very Good",.3412000000,Excellent,.1560000000
1214,2018-06-01,"MBTA Customer Opinion Panel","Parking availability",223,Unacceptable,.0670000000,"Very Poor",.0670000000,Poor,.0266000000,Fair,.1984000000,Good,.1056000000,"Very Good",.3408000000,Excellent,.1736000000
1215,2018-06-01,"MBTA Customer Opinion Panel","Real-time communications",678,Unacceptable,.1025000000,"Very Poor",.1025000000,Poor,.0937000000,Fair,.1288000000,Good,.1249000000,"Very Good",.3268000000,Excellent,.1244000000
1216,2018-06-01,"MBTA Customer Opinion Panel","How satisfied are you with the MBTA's communication overall?",779,"Extremely Dissatisfied",.0532000000,"Very Dissatisfied",.0532000000,"Somewhat Dissatisfied",.1248000000,Neutral,.1308000000,"Somewhat Satisfied",.2301000000,"Very Satisfied",.3094000000,"Extremely Satisfied",.0383000000
1217,2018-06-01,"MBTA Customer Opinion Panel",,729,"Extremely Dissatisfied",.0808000000,"Very Dissatisfied",.0808000000,"Somewhat Dissatisfied",.1002000000,Neutral,.0901000000,"Somewhat Satisfied",.1453000000,"Very Satisfied",.3862000000,"Extremely Satisfied",.1074000000
