STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG
USW00014739,"BOSTON, MA US",2018-01-01,16.33,0,0,6
USW00014739,"BOSTON, MA US",2018-01-02,12.75,0,0,10
USW00014739,"BOSTON, MA US",2018-01-03,9.4,0,0,21
USW00014739,"BOSTON, MA US",2018-01-04,22.59,1.35,13.4,26
USW00014739,"BOSTON, MA US",2018-01-05,24.83,0,0,18
USW00014739,"BOSTON, MA US",2018-01-06,21.92,0,0,8
USW00014739,"BOSTON, MA US",2018-01-07,16.11,0,0,5
USW00014739,"BOSTON, MA US",2018-01-08,16.78,0,0,24
USW00014739,"BOSTON, MA US",2018-01-09,13.87,0,0,35
USW00014739,"BOSTON, MA US",2018-01-10,7.38,0,0,31
USW00014739,"BOSTON, MA US",2018-01-11,11.18,0,0,39
USW00014739,"BOSTON, MA US",2018-01-12,14.76,0.62,0,50
USW00014739,"BOSTON, MA US",2018-01-13,20.13,1.24,0,50
USW00014739,"BOSTON, MA US",2018-01-14,11.63,0,0,19
USW00014739,"BOSTON, MA US",2018-01-15,13.65,0,0.3,16
USW00014739,"BOSTON, MA US",2018-01-16,5.14,0,0,24
USW00014739,"BOSTON, MA US",2018-01-17,6.49,0.21,1.7,32
USW00014739,"BOSTON, MA US",2018-01-18,11.18,0,0,28
USW00014739,"BOSTON, MA US",2018-01-19,9.62,0,0,28
USW00014739,"BOSTON, MA US",2018-01-20,14.32,0,0,37
USW00014739,"BOSTON, MA US",2018-01-21,6.04,0,0,42
USW00014739,"BOSTON, MA US",2018-01-22,4.92,0.06,0,36
USW00014739,"BOSTON, MA US",2018-01-23,9.17,1.26,0,38
USW00014739,"BOSTON, MA US",2018-01-24,14.54,0,0,38
USW00014739,"BOSTON, MA US",2018-01-25,16.11,0,0,26
USW00014739,"BOSTON, MA US",2018-01-26,11.41,0,0,25
USW00014739,"BOSTON, MA US",2018-01-27,16.33,0,0,36
USW00014739,"BOSTON, MA US",2018-01-28,10.29,0.03,0,49
USW00014739,"BOSTON, MA US",2018-01-29,15.88,0,0.1,38
USW00014739,"BOSTON, MA US",2018-01-30,15.21,0.15,2.3,27
USW00014739,"BOSTON, MA US",2018-01-31,13.2,0,0,24
USW00014739,"BOSTON, MA US",2018-02-01,13.42,0.04,0,35
USW00014739,"BOSTON, MA US",2018-02-02,17.45,0.25,0.1,32
USW00014739,"BOSTON, MA US",2018-02-03,12.97,0,0,17
USW00014739,"BOSTON, MA US",2018-02-04,10.74,0.29,0,32
USW00014739,"BOSTON, MA US",2018-02-05,13.42,0.36,0,40
USW00014739,"BOSTON, MA US",2018-02-06,8.28,0,0,27
USW00014739,"BOSTON, MA US",2018-02-07,7.38,0.65,2.1,30
USW00014739,"BOSTON, MA US",2018-02-08,13.42,0,0,30
USW00014739,"BOSTON, MA US",2018-02-09,11.41,0,0,27
USW00014739,"BOSTON, MA US",2018-02-10,8.5,0.16,0,39
USW00014739,"BOSTON, MA US",2018-02-11,7.16,0.69,0,43
USW00014739,"BOSTON, MA US",2018-02-12,10.51,0,0,41
USW00014739,"BOSTON, MA US",2018-02-13,10.07,0,0,30
USW00014739,"BOSTON, MA US",2018-02-14,11.18,0,0,35
USW00014739,"BOSTON, MA US",2018-02-15,8.5,0,0,42
USW00014739,"BOSTON, MA US",2018-02-16,10.96,0.02,0,49
USW00014739,"BOSTON, MA US",2018-02-17,11.63,0.17,1.9,33
USW00014739,"BOSTON, MA US",2018-02-18,10.29,0.35,3.7,36
USW00014739,"BOSTON, MA US",2018-02-19,12.53,0.06,0,38
USW00014739,"BOSTON, MA US",2018-02-20,10.74,0.01,0,55
USW00014739,"BOSTON, MA US",2018-02-21,14.32,0,0,56
USW00014739,"BOSTON, MA US",2018-02-22,9.62,0.08,0.5,46
USW00014739,"BOSTON, MA US",2018-02-23,9.17,0.12,0,35
USW00014739,"BOSTON, MA US",2018-02-24,10.29,0,0,45
USW00014739,"BOSTON, MA US",2018-02-25,14.32,0.51,0,40
USW00014739,"BOSTON, MA US",2018-02-26,10.51,0,0,43
USW00014739,"BOSTON, MA US",2018-02-27,9.4,0,0,44
USW00014739,"BOSTON, MA US",2018-02-28,12.08,0.01,0,47
USW00014739,"BOSTON, MA US",2018-03-01,9.84,0,0,47
USW00014739,"BOSTON, MA US",2018-03-02,38.03,2.3,0,40
USW00014739,"BOSTON, MA US",2018-03-03,25.5,0,0,40
USW00014739,"BOSTON, MA US",2018-03-04,14.99,0,0,39
USW00014739,"BOSTON, MA US",2018-03-05,17.67,0.05,0.6,37
USW00014739,"BOSTON, MA US",2018-03-06,8.72,0,0,35
USW00014739,"BOSTON, MA US",2018-03-07,22.82,0.55,2.5,36
USW00014739,"BOSTON, MA US",2018-03-08,15.66,0.71,3.9,34
USW00014739,"BOSTON, MA US",2018-03-09,12.75,0,0,34
USW00014739,"BOSTON, MA US",2018-03-10,17.9,0,0,36
USW00014739,"BOSTON, MA US",2018-03-11,12.3,0,0,37
USW00014739,"BOSTON, MA US",2018-03-12,13.87,0,0,37
USW00014739,"BOSTON, MA US",2018-03-13,25.05,1.15,14.5,33
USW00014739,"BOSTON, MA US",2018-03-14,18.12,0.03,0.3,33
USW00014739,"BOSTON, MA US",2018-03-15,17.67,0.01,0.1,36
USW00014739,"BOSTON, MA US",2018-03-16,17.67,0,0,35
USW00014739,"BOSTON, MA US",2018-03-17,18.34,0,0,31
USW00014739,"BOSTON, MA US",2018-03-18,14.09,0,0,23
USW00014739,"BOSTON, MA US",2018-03-19,14.32,0,0,28
USW00014739,"BOSTON, MA US",2018-03-20,8.72,0,0,31
USW00014739,"BOSTON, MA US",2018-03-21,19.69,0,0,34
USW00014739,"BOSTON, MA US",2018-03-22,13.42,0.09,1.3,36
USW00014739,"BOSTON, MA US",2018-03-23,9.62,0,0,38
USW00014739,"BOSTON, MA US",2018-03-24,8.95,0.01,0,40
USW00014739,"BOSTON, MA US",2018-03-25,14.32,0.07,0.1,36
USW00014739,"BOSTON, MA US",2018-03-26,11.86,0,0,35
USW00014739,"BOSTON, MA US",2018-03-27,8.5,0,0,35
USW00014739,"BOSTON, MA US",2018-03-28,5.82,0.01,0,41
USW00014739,"BOSTON, MA US",2018-03-29,5.37,0.01,0,43
USW00014739,"BOSTON, MA US",2018-03-30,11.86,0.08,0,52
USW00014739,"BOSTON, MA US",2018-03-31,14.32,0,0,47
